NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2018_H76S,25.75,8.75,2018,16/11/2018,76S,ANC76S,72.8764,-15.97069521,-5.771647047,,,MANMADE,BT69529,,,HOT,TRUE,,TRUE,,,FALSE
MASPE_2018_H60S,24.5,65.5,2018,26/11/2018,60S,ANC60S,71.414619,-15.97070529,-5.77170916,,,MANMADE,BT69534,,,HOT,TRUE,,TRUE,,,FALSE
MASPE_2018_H89R,9,0,2018,07/01/2019,89R,ANC89R,35.945061,-15.97026151,-5.772831649,,,MANMADE,BT69537,,,HOT,,,TRUE,,,FALSE
MASPE_2018_H49S,3.5,0,2018,26/11/2018,49S,ANC49S,75.145981,-15.97074083,-5.771781923,,,MANMADE,BT69541,,,HOT,,,TRUE,,,FALSE
MASPE_2018_H38R,10.5,0,2018,13/01/2019,38R,ANC38R,35,-15.97040667,-5.772863581,,,MANMADE,BT69569,,,HOT,,,TRUE,,,FALSE
MASPE_2019_C74S,20,10,2019,04/06/2019,74S,ANC74S,71.949127,-15.97070948,-5.771768755,,,MANMADE,BT69798,,,COOL,TRUE,TRUE,,,,FALSE
MASPE_2019_C42S,20,10,2019,04/06/2019,42S,ANC42S,75,-15.97070235,-5.771727067,,,MANMADE,BT69799,,,COOL,TRUE,TRUE,,,,FALSE
MASPE_2019_C92S,27,0,2019,07/06/2019,92R,ANC92S,,,,,,MANMADE,BT69827,,,COOL,,,TRUE,,,FALSE
MASPE_2019_C15R,23,0,2019,11/06/2019,15R,ANC15R,,,,,,MANMADE,BT69851,,,COOL,,,TRUE,,,FALSE
MASPE_2019_C87S,23,0,2019,11/06/2019,87R,ANC87S,,,,,,MANMADE,BT69852,,,COOL,,,TRUE,,,FALSE
MASPE_2004_H08,0,18.5,2004,01/11/2004,8,EI,,,,202731,8232855,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2004_H08B,6.5,0,2004,08/12/2004,8,EI,,,,202731,8232855,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2004_H11214,14,0,2004,21/12/2004,70,PI,,,,202405,8232507,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2004_H1213,14,0,2004,21/12/2004,69,PI,,,,202405,8232507,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_C11221,16,68,2005,26/05/2005,77,PI,,,,202405,8232507,NATURAL,,,,COOL,TRUE,TRUE,,,,
