Longitude,Latitude,YEAR,Date_Time,SEASON,STAGE,R6TFU,AVAILABLE,Trip_id,variable,value
-8.333559,-21.598623,2017,05/12/2017 07:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.208
-8.336558,-21.598886,2017,05/12/2017 08:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.255
-8.340761,-21.594248,2017,05/12/2017 09:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.302
-8.339183,-21.597894,2017,05/12/2017 10:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.383
-8.346561,-21.568601,2017,05/12/2017 11:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.469
-7.992536,-19.821103,2017,05/12/2017 22:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.172
-7.99078,-19.827937,2017,05/12/2017 23:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.198
-7.997171,-19.832861,2017,06/12/2017 00:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.224
-7.997322,-19.837406,2017,06/12/2017 01:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.15
-7.99608,-19.834638,2017,06/12/2017 02:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.0745
-8.006816,-19.785162,2017,06/12/2017 03:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-8.006981,-19.664591,2017,06/12/2017 04:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-7.987103,-19.613157,2017,06/12/2017 05:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-7.994177,-19.609972,2017,06/12/2017 06:00,HOT,CHICK_REARING,1,0,9752,Rainmm,7.99e-06
-7.771177,-17.867881,2017,06/12/2017 16:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-7.765344,-17.8228,2017,06/12/2017 17:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-6.456569,-15.82599,2017,07/12/2017 06:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.085
-6.425303,-15.813778,2017,07/12/2017 07:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.104
-6.414727,-15.811161,2017,07/12/2017 08:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.124
-6.324111,-15.76259,2017,07/12/2017 09:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.146
-6.225881,-15.698073,2017,07/12/2017 12:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.159
-6.194222,-15.654585,2017,07/12/2017 13:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.108
-6.157275,-15.624741,2017,07/12/2017 14:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.0544
-6.140438,-15.651474,2017,07/12/2017 15:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0
-5.941109,-16.116839,2017,08/12/2017 07:00,HOT,CHICK_REARING,1,0,9753,Rainmm,0.125
-5.920439,-16.13576,2017,08/12/2017 08:00,HOT,CHICK_REARING,1,0,9753,Rainmm,0.145
-5.955806,-16.125492,2017,08/12/2017 09:00,HOT,CHICK_REARING,1,0,9753,Rainmm,0.163
-5.683995,-15.471218,2017,08/12/2017 13:00,HOT,CHICK_REARING,1,0,9753,Rainmm,0.148
-5.673491,-15.450045,2017,08/12/2017 14:00,HOT,CHICK_REARING,1,0,9753,Rainmm,0.0744
-5.643889,-15.389837,2017,08/12/2017 15:00,HOT,CHICK_REARING,1,0,9753,Rainmm,-6.43e-11
-5.455149,-15.26733,2017,08/12/2017 17:00,HOT,CHICK_REARING,1,0,9753,Rainmm,-8.94e-09
-5.7431,-15.683651,2017,10/12/2017 06:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.699558,-15.629885,2017,10/12/2017 07:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.617829,-15.540863,2017,10/12/2017 08:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.566488,-15.508623,2017,10/12/2017 09:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.458884,-15.446134,2017,10/12/2017 10:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.411454,-15.400975,2017,10/12/2017 11:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0
-5.528515,-15.452456,2017,10/12/2017 16:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0.00698
-5.552252,-15.5082,2017,10/12/2017 17:00,HOT,CHICK_REARING,1,0,9754,Rainmm,0.0108
-8.279083,-16.451123,2017,08/12/2017 05:00,HOT,INCUBATING,1,0,9761,Rainmm,0.12
-8.325252,-16.513173,2017,08/12/2017 07:00,HOT,INCUBATING,1,0,9761,Rainmm,0.169
-8.526605,-16.620354,2017,08/12/2017 09:00,HOT,INCUBATING,1,0,9761,Rainmm,0.182
-8.539626,-16.621053,2017,08/12/2017 11:00,HOT,INCUBATING,1,0,9761,Rainmm,0.189
-9.833094,-17.757478,2017,08/12/2017 22:59,HOT,INCUBATING,1,0,9761,Rainmm,-2.48e-08
-9.917935,-17.696825,2017,09/12/2017 00:59,HOT,INCUBATING,1,0,9761,Rainmm,-2.16e-08
-10.122491,-17.94091,2017,09/12/2017 02:59,HOT,INCUBATING,1,0,9761,Rainmm,-6.42e-09
-10.111182,-17.925628,2017,09/12/2017 04:59,HOT,INCUBATING,1,0,9761,Rainmm,-6.42e-09
-10.119917,-17.924415,2017,09/12/2017 06:59,HOT,INCUBATING,1,0,9761,Rainmm,0.03
-10.133284,-17.820389,2017,09/12/2017 08:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0862
-10.24027,-17.632336,2017,09/12/2017 12:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0624
-10.364797,-17.832178,2017,09/12/2017 14:59,HOT,INCUBATING,1,0,9761,Rainmm,8.98e-06
-10.391201,-17.876443,2017,09/12/2017 16:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-10.44389,-17.875524,2017,09/12/2017 18:59,HOT,INCUBATING,1,0,9761,Rainmm,0.00119
-10.655629,-18.096856,2017,09/12/2017 20:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-10.750612,-18.093765,2017,09/12/2017 22:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0407
-10.433359,-17.81226,2017,10/12/2017 02:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0922
-10.408079,-17.786614,2017,10/12/2017 04:59,HOT,INCUBATING,1,0,9761,Rainmm,0.135
-10.396365,-17.770372,2017,10/12/2017 06:59,HOT,INCUBATING,1,0,9761,Rainmm,0.168
-10.385804,-17.797244,2017,10/12/2017 08:59,HOT,INCUBATING,1,0,9761,Rainmm,0.191
-10.355704,-17.785465,2017,10/12/2017 10:59,HOT,INCUBATING,1,0,9761,Rainmm,0.197
-10.351264,-17.783375,2017,10/12/2017 12:59,HOT,INCUBATING,1,0,9761,Rainmm,0.133
-10.332084,-17.774231,2017,10/12/2017 14:59,HOT,INCUBATING,1,0,9761,Rainmm,1.86e-05
-10.157471,-17.5533,2017,10/12/2017 16:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-10.048611,-17.462335,2017,10/12/2017 18:59,HOT,INCUBATING,1,0,9761,Rainmm,0
